LumiCycle: Ca1a-Bmal1-1 (Raw),,,,,,,,,
Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec,Time (days),counts/sec
1.80556,1042.663,1.80556,738.259,1.80556,856.978,1.80556,792.483,1.80556,2162.873
1.8125,1044.719,1.8125,738.306,1.8125,864.523,1.8125,807.163,1.8125,2184.919
1.81944,1049.896,1.81944,751.138,1.81944,863.207,1.81944,808.192,1.81944,2208.106
1.82639,1048.355,1.82639,744.336,1.82639,870.139,1.82639,816.25,1.82639,2226.594
1.83333,1066.557,1.83333,757.491,1.83333,878.962,1.83333,830.549,1.83333,2241.875
1.84028,1063.53,1.84028,755.034,1.84028,882.555,1.84028,836.488,1.84028,2269.387
1.84722,1062.538,1.84722,754.753,1.84722,891.463,1.84722,848.871,1.84722,2292.708
1.85417,1063.257,1.85417,763.712,1.85417,904.342,1.85417,866.112,1.85417,2306.782
1.86111,1074.077,1.86111,770.917,1.86111,902.406,1.86111,872.292,1.86111,2336.712
1.86806,1070.501,1.86806,764.591,1.86806,906.676,1.86806,883.643,1.86806,2356.239
1.875,1074.971,1.875,771.333,1.875,916.95,1.875,891.482,1.875,2362.683
1.88194,1081.589,1.88194,783.807,1.88194,922.71,1.88194,907.715,1.88194,2378.958
